user_pseudo_id,user_id,member_rank,opt_in_email,registered_at
1026454.4271112504,USER_0001,Gold,true,2020-01-15
1029692.9551304564,USER_0002,Silver,true,2020-03-22
1031480.8260955562,USER_0003,Bronze,false,2020-06-10
1034924.6134685361,USER_0004,Gold,true,2020-08-05
1037360.4939379761,USER_0005,Silver,false,2020-11-30
1037755.3882512534,,Bronze,true,2021-01-10
1044444.3778737727,,Silver,false,2021-01-12
1059953.4638722992,,Bronze,true,2021-01-15
1069458.5921197239,USER_0006,Gold,true,2020-02-28
1070234.6499880921,USER_0007,Silver,true,2020-04-14
1095407.7609659002,,Bronze,false,2021-01-18
1101008.7270961499,,Silver,true,2021-01-20
1104658.1789443296,USER_0008,Gold,true,2020-07-07
1106781.1369843736,,Bronze,false,2021-01-22
1114805.9678711833,USER_0009,Silver,true,2020-09-19
1138235.0983382868,,Bronze,true,2021-01-25
1147925.5442679295,USER_0010,Gold,false,2020-12-01
1173058.1267899976,,Silver,true,2021-01-28
1189219.2447173085,,Bronze,false,2021-01-29
1221278.9176168969,USER_0011,Gold,true,2020-05-20
